,sentence,target,target_type,category,polarity,opinin_Term
604,Quite simply it 's like stepping out of Manhattan and into a haven of tranquility .,NULL,implicit,AMBIENCE GENERAL,positive,a haven of tranquility
605,The fried dumplings are GREAT !,fried dumplings,explicit,FOOD QUALITY,positive,GREAT
606,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .,bagels,explicit,FOOD QUALITY,positive,better
607,The lox is always fresh too .,lox,explicit,FOOD QUALITY,positive,fresh
608,Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,Wait staff,explicit,SERVICE GENERAL,negative,unappreciative
609,Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,pie,explicit,FOOD QUALITY,positive,best
610,We took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal,explicit,FOOD QUALITY,positive,worth
611,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food,explicit,FOOD QUALITY,positive,tasty
612,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food,explicit,FOOD QUALITY,positive,fresh
613,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food,explicit,FOOD PRICES,positive,refilled
614,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,NULL,implicit,RESTAURANT GENERAL,positive,magnificent
615,The people that work there are always so friendly you forget you are in New York sometimes .,people,explicit,SERVICE GENERAL,positive,friendly
616,I go twice a month !,NULL,implicit,RESTAURANT GENERAL,positive,twice a month
617,"It was the first place we ate on our first trip to New York , and it will be the last place we stop as we head out of town on our next trip to New York .",place,explicit,RESTAURANT MISCELLANEOUS,positive,the last place we stop
618,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",menu,explicit,FOOD STYLE_OPTIONS,negative,limited
619,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",ingredients,explicit,FOOD QUALITY,negative,no-so-fresh
620,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",fish,explicit,FOOD STYLE_OPTIONS,negative,thinly-sliced
621,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",rice,explicit,FOOD STYLE_OPTIONS,negative,fall-apart
622,I was there on sat . for my birthday and we had an excellent time .,NULL,implicit,RESTAURANT GENERAL,positive,excellent
623,It 's one of our favorite places to eat in NY .,NULL,implicit,RESTAURANT GENERAL,positive,favorite
624,"The dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest I 've ever had ) .",dishes,explicit,FOOD QUALITY,positive,unique
625,"The dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest I 've ever had ) .",dishes,explicit,FOOD QUALITY,positive,tasty
626,"The dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest I 've ever had ) .",dishes,explicit,FOOD QUALITY,positive,fresh
627,"The dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest I 've ever had ) .",pistachio ice cream,explicit,FOOD QUALITY,positive,amazing
628,The menu is very limited - i think we counted 4 or 5 entrees .,menu,explicit,FOOD STYLE_OPTIONS,negative,limited
629,"Raga 's is a romantic , cozy restaurant .",Raga 's,explicit,AMBIENCE GENERAL,positive,romantic
630,"Raga 's is a romantic , cozy restaurant .",Raga 's,explicit,AMBIENCE GENERAL,positive,cozy
631,I highly recommend the Sophia pizza .,Sophia pizza,explicit,FOOD QUALITY,positive,recommend
632,The wine list is extensive and impressive .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,extensive
633,The wine list is extensive and impressive .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,impressive
634,"Excellent atmosphere , delicious dishes good and friendly service .",atmosphere,explicit,AMBIENCE GENERAL,positive,Excellent
635,"Excellent atmosphere , delicious dishes good and friendly service .",dishes,explicit,FOOD QUALITY,positive,delicious
636,"Excellent atmosphere , delicious dishes good and friendly service .",service,explicit,SERVICE GENERAL,positive,good
637,"Excellent atmosphere , delicious dishes good and friendly service .",service,explicit,SERVICE GENERAL,positive,friendly
638,We were greeted promptly by the waiter who was very nice and cordial .,waiter,explicit,SERVICE GENERAL,positive,nice
639,We were greeted promptly by the waiter who was very nice and cordial .,waiter,explicit,SERVICE GENERAL,positive,cordial
640,I 'm partial to the Gnocchi .,Gnocchi,explicit,RESTAURANT GENERAL,positive,partial
641,"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",food,explicit,FOOD QUALITY,positive,recommend
642,"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",ambience,explicit,AMBIENCE GENERAL,positive,recommend
643,"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",service,explicit,SERVICE GENERAL,positive,recommend
644,"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",service,explicit,SERVICE GENERAL,positive,wonderful
645,Salads are a delicious way to begin the meal .,Salads,explicit,FOOD QUALITY,positive,delicious
646,Amma is nothing special .,Amma,explicit,RESTAURANT GENERAL,neutral,nothing special
647,"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good ... not outstanding , but good .",dim sum,explicit,FOOD QUALITY,neutral,good
648,"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good ... not outstanding , but good .",dim sum,explicit,FOOD QUALITY,neutral,not outstanding
649,"For authentic Thai food , look no further than Toons .",Thai food,explicit,FOOD QUALITY,positive,authentic
650,We both opted for a pasta dish and they were served timely and fresh .,NULL,implicit,SERVICE GENERAL,positive,served timely
651,We both opted for a pasta dish and they were served timely and fresh .,pasta dish,explicit,FOOD QUALITY,positive,fresh
652,Never again !,NULL,implicit,RESTAURANT GENERAL,negative,Never
653,"He served me an Uni Hand roll , which I never had before , and let me tell you ... IT WAS HEAVEN !",Uni Hand roll,explicit,FOOD QUALITY,positive,HEAVEN
654,We were 4 and got the family size penne a la vodka which was tremendously gigantic portion ... a bucket of food literally .,penne a la vodka,explicit,FOOD STYLE_OPTIONS,positive,gigantic
655,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice .,NULL,implicit,SERVICE GENERAL,negative,abrupt
656,Downstairs lounge is always a good attraction,Downstairs lounge,explicit,AMBIENCE GENERAL,positive,good attraction
657,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,restaurant,explicit,RESTAURANT MISCELLANEOUS,positive,nice
658,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies .,NULL,implicit,FOOD QUALITY,negative,a far cry
659,Service was very prompt but slightly rushed .,Service,explicit,SERVICE GENERAL,positive,prompt
660,Service was very prompt but slightly rushed .,Service,explicit,SERVICE GENERAL,positive,rushed
661,My boyfriend had Prime Rib it was good .,Prime Rib,explicit,FOOD QUALITY,positive,good
662,Consistently good Japanese Tapas .,Japanese Tapas,explicit,FOOD QUALITY,positive,good
663,Great food and the prices are very reasonable .,food,explicit,FOOD QUALITY,positive,Great
664,Great food and the prices are very reasonable .,NULL,implicit,RESTAURANT PRICES,positive,reasonable
665,Always busy but fast moving .,NULL,implicit,SERVICE GENERAL,positive,fast moving
666,The place itself is beautiful the bar scene seems to be happening .,place,explicit,AMBIENCE GENERAL,positive,beautiful
667,The service was excellent - friendly and attentive .,service,explicit,SERVICE GENERAL,positive,excellent
668,The service was excellent - friendly and attentive .,service,explicit,SERVICE GENERAL,positive,friendly
669,The service was excellent - friendly and attentive .,service,explicit,SERVICE GENERAL,positive,attentive
670,"The waitress , seems to be more concerned of looking good than actually waitressing .",waitress,explicit,SERVICE GENERAL,negative,more concerned of looking good
671,This is my first time writing a review for a restaurant because the food and service was excellent .,food,explicit,FOOD QUALITY,positive,excellent
672,This is my first time writing a review for a restaurant because the food and service was excellent .,service,explicit,SERVICE GENERAL,positive,excellent
673,The bagel was huge .,bagel,explicit,FOOD STYLE_OPTIONS,positive,huge
674,I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,scallops,explicit,FOOD QUALITY,positive,like
675,I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,mahi mahi ( on saffron risotto,explicit,FOOD QUALITY,positive,like
676,Service was quick .,Service,explicit,SERVICE GENERAL,positive,quick
677,it 's a perfect place to have a amazing indian food .,indian food,explicit,FOOD QUALITY,positive,amazing
678,"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",eggs benedict,explicit,FOOD QUALITY,negative,worst
679,"The freshest , best variety , and the fastest delivery .",NULL,implicit,FOOD QUALITY,positive,freshest
680,"The freshest , best variety , and the fastest delivery .",NULL,implicit,FOOD STYLE_OPTIONS,positive,best variety
681,"The freshest , best variety , and the fastest delivery .",delivery,explicit,SERVICE GENERAL,positive,fastest
682,Too bad the food was n't of the same heritage .,food,explicit,FOOD QUALITY,negative,bad
683,"Conveniently located too , being right on Bedford ave .",NULL,implicit,LOCATION GENERAL,positive,Conveniently
684,This is one of my favorite restaurants and it is not to be missed .,NULL,implicit,RESTAURANT GENERAL,positive,favorite
685,I would highly recommend it .,NULL,implicit,RESTAURANT GENERAL,positive,highly recommend
686,"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",Leon,explicit,AMBIENCE GENERAL,positive,casual
687,"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",Leon,explicit,AMBIENCE GENERAL,positive,hip
688,"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",specials,explicit,FOOD QUALITY,positive,good
689,"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",atmosphere,explicit,AMBIENCE GENERAL,positive,warm
